OBSYMD,DAMCD,RF,IQTY
19740810,1012110,0,93.6
19740811,1012110,0,75.2
19740812,1012110,0,68.1
19740813,1012110,0,58.3
19740814,1012110,0.5,49.3
19740815,1012110,21.8,54.4
19740816,1012110,4.1,90.7
19740817,1012110,0,66.3
19740818,1012110,0,46.4
19740819,1012110,0,46.1
19740820,1012110,0,41.5
19740821,1012110,0,35.8
19740822,1012110,1,23
19740823,1012110,74.3,273.1
19740824,1012110,1,676.1
19740825,1012110,0,366.9
19740826,1012110,0,190.7
19740827,1012110,0,127.5
19740828,1012110,0.1,83.5
19740829,1012110,7.1,86.1
19740830,1012110,0,81.3
19740831,1012110,0,53.6
19740901,1012110,1.3,51.3
19740902,1012110,13.4,130.8
19740903,1012110,1.1,337.3
19740904,1012110,0,248.9
19740905,1012110,0,153.5
19740906,1012110,0,115.4
19740907,1012110,2.7,95.2
19740908,1012110,0,76.8
19740909,1012110,0,70
19740910,1012110,0,51.9
19740911,1012110,0,32.2
19740912,1012110,0,38.5
19740913,1012110,0,31.2
19740914,1012110,43.2,76.4
19740915,1012110,0,115.7
19740916,1012110,0,77.6
19740917,1012110,0,53.2
19740918,1012110,0,40.8
19740919,1012110,0,37.7
19740920,1012110,0,34
19740921,1012110,0,24
19740922,1012110,0,27
19740923,1012110,0,27
19740924,1012110,2.6,23.8
19740925,1012110,0,19.5
19740926,1012110,0,15.5
19740927,1012110,0,22
19740928,1012110,9.7,25
19740929,1012110,0,28
19740930,1012110,6.5,28
19741001,1012110,8.3,32.7
19741002,1012110,0.2,25.7
19741003,1012110,0.5,20.8
19741004,1012110,0,14.6
19741005,1012110,0,16.5
19741006,1012110,0,16.1
19741007,1012110,0.6,13.2
19741008,1012110,0.8,12.5
19741009,1012110,0.8,21.6
19741010,1012110,0,13.1
19741011,1012110,0,11.4
19741012,1012110,0,11.9
19741013,1012110,0,10.7
19741014,1012110,0,7.6
19741015,1012110,0,11.4
19741016,1012110,0,12.8
19741017,1012110,0.2,16.3
19741018,1012110,31,31.2
19741019,1012110,0,51.3
19741020,1012110,0,32.8
19741021,1012110,0,22.7
19741022,1012110,2.4,18.6
19741023,1012110,0,25.3
19741024,1012110,0,10.8
19741025,1012110,0,15.2
19741026,1012110,1.7,14.5
19741027,1012110,0,15.5
19741028,1012110,0,13.6
19741029,1012110,0,11.5
19741030,1012110,0.7,11.9
19741031,1012110,0,7.3
19741101,1012110,0,8.4
19741102,1012110,0,11.6
19741103,1012110,0,7.9
19741104,1012110,0,10.4
19741105,1012110,0,9.2
19741106,1012110,0,6.6
19741107,1012110,0,8
19741108,1012110,0,148
19741109,1012110,0,7.1
19741110,1012110,0,8.3
19741111,1012110,0,7.6
19741112,1012110,0,6.8
19741113,1012110,0,6.5
19741114,1012110,0,6
19741115,1012110,0,6.1
19741116,1012110,0,4.7
19741117,1012110,3.6,5
19741118,1012110,0.3,10
19741119,1012110,0,9.9
19741120,1012110,9.4,12.2
19741121,1012110,0,6.9
19741122,1012110,0,9.2
19741123,1012110,1.6,8
19741124,1012110,0,8.3
19741125,1012110,0,10
19741126,1012110,0,6.5
19741127,1012110,0,7.1
19741128,1012110,0,4.2
19741129,1012110,0,4.8
19741130,1012110,0,5.4
19741201,1012110,0.5,5.3
19741202,1012110,7.3,14.7
19741203,1012110,0,7
19741204,1012110,0,5.2
19741205,1012110,0,2
19741206,1012110,0.4,4
19741207,1012110,0.4,5.7
19741208,1012110,0,18.2
19741209,1012110,0,2.7
19741210,1012110,0,8.5
19741211,1012110,0,9.5
